Model,accuracy,precision_macro,recall_macro,fscore_macro,auc_micro,auc_macro
ResNet50,0.9039408866995073,0.9082276370781612,0.9057826466405594,0.9039373108007769,0.9935026329199932,0.9948101486291815
VGG19 (Scratch),0.16502463054187191,0.08290175721370331,0.15741266485452532,0.07918144707723265,0.5802171046777808,0.601921032207118
Inception V1,0.8817733990147784,0.8937034633523444,0.8831053626842055,0.8850730598108136,0.9936583432421721,0.9940399583988423
MobileNetV2,0.812807881773399,0.824486871862719,0.8143512098602853,0.8155099706276985,0.9802504037683246,0.9809987980759388
