Model,accuracy,precision_macro,recall_macro,fscore_macro,auc_micro,auc_macro
ResNet50,0.8329268292682926,0.8461642593785438,0.8359723442500762,0.8350257302597781,0.9929139922978177,0.9929641382629402
VGG19 (Scratch),0.23658536585365852,0.21607719181837695,0.24724027151463707,0.20911139253749544,0.7451085271924607,0.7290713011422768
Inception V1,0.85,0.8552629852133778,0.8518481264755835,0.8498148935751806,0.9924420770844421,0.9914117893756803
MobileNetV2,0.7329268292682927,0.758257947331847,0.7361942783391524,0.7355726756502087,0.9800318576035567,0.9799828172783019
