Model,accuracy,precision_macro,recall_macro,fscore_macro,auc_micro,auc_macro
ResNet50,0.840567093645069,0.8477934862682991,0.8398717022129158,0.8397990442612122,0.9984117997341438,0.9984146917496546
VGG19,0.46810098246486753,0.4991201957925838,0.46783746331791437,0.46684546566343954,0.9810446707277773,0.9803457762924006
Inception V1,0.38490237532645194,0.4828601095824933,0.38292954052618194,0.38622635310526926,0.9612831374797708,0.9648983981458481
MobileNetV2,0.6382290759855739,0.6685210600226716,0.6388005845964287,0.6382100407001139,0.9921389913085856,0.9922041113423843
