,precision,recall,f1-score,support
Chevrolet Express Van 2007,0.34782608695652173,0.22857142857142856,0.27586206896551724,35.0
Chevrolet Monte Carlo Coupe 2007,0.13076923076923078,0.37777777777777777,0.19428571428571428,45.0
Chevrolet Malibu Sedan 2007,0.3333333333333333,0.38636363636363635,0.35789473684210527,44.0
Chevrolet Silverado 1500 Extended Cab 2012,0.24528301886792453,0.3023255813953488,0.2708333333333333,43.0
Chevrolet Silverado 1500 Regular Cab 2012,0.5,0.18181818181818182,0.26666666666666666,44.0
Chrysler Aspen SUV 2009,0.375,0.7674418604651163,0.5038167938931297,43.0
Chrysler Sebring Convertible 2010,0.5789473684210527,0.275,0.3728813559322034,40.0
Chrysler Town and Country Minivan 2012,0.4166666666666667,0.6756756756756757,0.5154639175257731,37.0
Chrysler 300 SRT-8 2010,0.2894736842105263,0.4583333333333333,0.3548387096774194,48.0
Chrysler Crossfire Convertible 2008,0.5,0.6046511627906976,0.5473684210526316,43.0
Chrysler PT Cruiser Convertible 2008,0.35294117647058826,0.8,0.4897959183673469,45.0
Daewoo Nubira Wagon 2002,0.4166666666666667,0.4444444444444444,0.43010752688172044,45.0
Dodge Caliber Wagon 2012,0.14193548387096774,0.55,0.22564102564102564,40.0
Dodge Caliber Wagon 2007,0.4722222222222222,0.40476190476190477,0.4358974358974359,42.0
Dodge Caravan Minivan 1997,0.5142857142857142,0.4186046511627907,0.46153846153846156,43.0
Dodge Ram Pickup 3500 Crew Cab 2010,0.4791666666666667,0.5476190476190477,0.5111111111111111,42.0
Dodge Ram Pickup 3500 Quad Cab 2009,0.3888888888888889,0.1590909090909091,0.22580645161290322,44.0
Dodge Sprinter Cargo Van 2009,0.4090909090909091,0.6923076923076923,0.5142857142857142,39.0
Dodge Journey SUV 2012,0.5490196078431373,0.6363636363636364,0.5894736842105263,44.0
Dodge Dakota Crew Cab 2010,0.5102040816326531,0.6097560975609756,0.5555555555555556,41.0
Dodge Dakota Club Cab 2007,0.2604166666666667,0.6578947368421053,0.373134328358209,38.0
Dodge Magnum Wagon 2008,0.15217391304347827,0.525,0.23595505617977527,40.0
Dodge Challenger SRT8 2011,0.8888888888888888,0.20512820512820512,0.3333333333333333,39.0
Dodge Durango SUV 2012,0.8571428571428571,0.4186046511627907,0.5625,43.0
Dodge Durango SUV 2007,0.3050847457627119,0.4,0.34615384615384615,45.0
Dodge Charger Sedan 2012,0.5625,0.21951219512195122,0.3157894736842105,41.0
Dodge Charger SRT-8 2009,0.3902439024390244,0.38095238095238093,0.3855421686746988,42.0
Eagle Talon Hatchback 1998,0.36363636363636365,0.17391304347826086,0.23529411764705882,46.0
FIAT 500 Abarth 2012,0.5,0.07407407407407407,0.12903225806451613,27.0
FIAT 500 Convertible 2012,0.5588235294117647,0.5757575757575758,0.5671641791044776,33.0
Ferrari FF Coupe 2012,0.15172413793103448,0.5238095238095238,0.23529411764705882,42.0
Ferrari California Convertible 2012,0.5789473684210527,0.28205128205128205,0.3793103448275862,39.0
Ferrari 458 Italia Convertible 2012,0.46153846153846156,0.15384615384615385,0.23076923076923078,39.0
Ferrari 458 Italia Coupe 2012,0.37142857142857144,0.6190476190476191,0.4642857142857143,42.0
Fisker Karma Sedan 2012,0.5,0.23255813953488372,0.31746031746031744,43.0
Ford F-450 Super Duty Crew Cab 2012,0.6666666666666666,0.43902439024390244,0.5294117647058824,41.0
Ford Mustang Convertible 2007,0.2463768115942029,0.38636363636363635,0.3008849557522124,44.0
Ford Freestar Minivan 2007,0.6,0.5454545454545454,0.5714285714285714,44.0
Ford Expedition EL SUV 2009,0.4222222222222222,0.4318181818181818,0.42696629213483145,44.0
Ford Edge SUV 2012,0.5,0.3953488372093023,0.44155844155844154,43.0
Ford Ranger SuperCab 2011,0.34285714285714286,0.2857142857142857,0.3116883116883117,42.0
Ford GT Coupe 2006,0.5172413793103449,0.3333333333333333,0.40540540540540543,45.0
Ford F-150 Regular Cab 2012,0.6363636363636364,0.3333333333333333,0.4375,42.0
Ford F-150 Regular Cab 2007,0.45454545454545453,0.2222222222222222,0.29850746268656714,45.0
Ford Focus Sedan 2007,0.3116883116883117,0.5333333333333333,0.39344262295081966,45.0
Ford E-Series Wagon Van 2012,0.5833333333333334,0.3783783783783784,0.45901639344262296,37.0
Ford Fiesta Sedan 2012,0.29577464788732394,0.5,0.37168141592920356,42.0
GMC Terrain SUV 2012,0.5263157894736842,0.4878048780487805,0.5063291139240507,41.0
GMC Savana Van 2012,0.47368421052631576,0.6617647058823529,0.5521472392638037,68.0
GMC Yukon Hybrid SUV 2012,0.5625,0.42857142857142855,0.4864864864864865,42.0
GMC Acadia SUV 2012,0.5348837209302325,0.5227272727272727,0.5287356321839081,44.0
GMC Canyon Extended Cab 2012,0.7333333333333333,0.275,0.4,40.0
Geo Metro Convertible 1993,0.5076923076923077,0.75,0.6055045871559633,44.0
HUMMER H3T Crew Cab 2010,0.4523809523809524,0.48717948717948717,0.4691358024691358,39.0
HUMMER H2 SUT Crew Cab 2009,0.8,0.37209302325581395,0.5079365079365079,43.0
Honda Odyssey Minivan 2012,0.7647058823529411,0.30952380952380953,0.4406779661016949,42.0
Honda Odyssey Minivan 2007,0.5588235294117647,0.4634146341463415,0.5066666666666667,41.0
Honda Accord Coupe 2012,0.4117647058823529,0.358974358974359,0.3835616438356164,39.0
Honda Accord Sedan 2012,0.2222222222222222,0.2631578947368421,0.24096385542168675,38.0
Hyundai Veloster Hatchback 2012,0.5925925925925926,0.3902439024390244,0.47058823529411764,41.0
Hyundai Santa Fe SUV 2012,0.8888888888888888,0.38095238095238093,0.5333333333333333,42.0
Hyundai Tucson SUV 2012,0.7857142857142857,0.2558139534883721,0.38596491228070173,43.0
Hyundai Veracruz SUV 2012,0.1111111111111111,0.023809523809523808,0.0392156862745098,42.0
Hyundai Sonata Hybrid Sedan 2012,0.31645569620253167,0.7575757575757576,0.44642857142857145,33.0
Hyundai Elantra Sedan 2007,0.375,0.2857142857142857,0.32432432432432434,42.0
Hyundai Accent Sedan 2012,0.36363636363636365,0.16666666666666666,0.22857142857142856,24.0
Hyundai Genesis Sedan 2012,0.2818181818181818,0.7209302325581395,0.40522875816993464,43.0
Hyundai Sonata Sedan 2012,0.5555555555555556,0.5128205128205128,0.5333333333333333,39.0
Hyundai Elantra Touring Hatchback 2012,0.3541666666666667,0.40476190476190477,0.37777777777777777,42.0
Hyundai Azera Sedan 2012,0.2077922077922078,0.38095238095238093,0.2689075630252101,42.0
Infiniti G Coupe IPL 2012,0.8888888888888888,0.23529411764705882,0.37209302325581395,34.0
Infiniti QX56 SUV 2011,0.7333333333333333,0.34375,0.46808510638297873,32.0
Isuzu Ascender SUV 2008,0.475,0.475,0.475,40.0
Jaguar XK XKR 2012,0.5454545454545454,0.2608695652173913,0.35294117647058826,46.0
Jeep Patriot SUV 2012,0.9090909090909091,0.45454545454545453,0.6060606060606061,44.0
Jeep Wrangler SUV 2012,0.9459459459459459,0.813953488372093,0.875,43.0
Jeep Liberty SUV 2012,0.7222222222222222,0.5909090909090909,0.65,44.0
Jeep Grand Cherokee SUV 2012,0.6190476190476191,0.28888888888888886,0.3939393939393939,45.0
Jeep Compass SUV 2012,0.5526315789473685,0.5,0.525,42.0
Lamborghini Reventon Coupe 2008,0.8333333333333334,0.2777777777777778,0.4166666666666667,36.0
Lamborghini Aventador Coupe 2012,0.24545454545454545,0.627906976744186,0.35294117647058826,43.0
Lamborghini Gallardo LP 570-4 Superleggera 2012,0.48148148148148145,0.37142857142857144,0.41935483870967744,35.0
Lamborghini Diablo Coupe 2001,0.43333333333333335,0.5909090909090909,0.5,44.0
Land Rover Range Rover SUV 2012,0.9285714285714286,0.30952380952380953,0.4642857142857143,42.0
Land Rover LR2 SUV 2012,0.35294117647058826,0.42857142857142855,0.3870967741935484,42.0
Lincoln Town Car Sedan 2011,0.8,0.41025641025641024,0.5423728813559322,39.0
MINI Cooper Roadster Convertible 2012,0.7777777777777778,0.7777777777777778,0.7777777777777778,36.0
Maybach Landaulet Convertible 2012,0.5238095238095238,0.3793103448275862,0.44,29.0
Mazda Tribute SUV 2011,0.6,0.4166666666666667,0.4918032786885246,36.0
McLaren MP4-12C Coupe 2012,0.4423076923076923,0.5227272727272727,0.4791666666666667,44.0
Mercedes-Benz 300-Class Convertible 1993,0.6,0.375,0.46153846153846156,48.0
Mercedes-Benz C-Class Sedan 2012,0.5384615384615384,0.15555555555555556,0.2413793103448276,45.0
Mercedes-Benz SL-Class Coupe 2009,0.2777777777777778,0.5555555555555556,0.37037037037037035,36.0
Mercedes-Benz E-Class Sedan 2012,0.5555555555555556,0.11627906976744186,0.19230769230769232,43.0
Mercedes-Benz S-Class Sedan 2012,0.32098765432098764,0.5909090909090909,0.416,44.0
Mercedes-Benz Sprinter Van 2012,0.52,0.3170731707317073,0.3939393939393939,41.0
Mitsubishi Lancer Sedan 2012,0.3225806451612903,0.2127659574468085,0.2564102564102564,47.0
Nissan Leaf Hatchback 2012,0.49122807017543857,0.6666666666666666,0.5656565656565656,42.0
Nissan NV Passenger Van 2012,0.7307692307692307,0.5,0.59375,38.0
Nissan Juke Hatchback 2012,0.4642857142857143,0.29545454545454547,0.3611111111111111,44.0
Nissan 240SX Coupe 1998,0.6071428571428571,0.3695652173913043,0.4594594594594595,46.0
Plymouth Neon Coupe 1999,0.631578947368421,0.5454545454545454,0.5853658536585366,44.0
Porsche Panamera Sedan 2012,0.3114754098360656,0.4418604651162791,0.36538461538461536,43.0
Ram C/V Cargo Van Minivan 2012,0.23684210526315788,0.43902439024390244,0.3076923076923077,41.0
Rolls-Royce Phantom Drophead Coupe Convertible 2012,0.56,0.4666666666666667,0.509090909090909,30.0
Rolls-Royce Ghost Sedan 2012,0.5416666666666666,0.34210526315789475,0.41935483870967744,38.0
Rolls-Royce Phantom Sedan 2012,0.4375,0.4772727272727273,0.45652173913043476,44.0
Scion xD Hatchback 2012,0.65,0.3170731707317073,0.4262295081967213,41.0
Spyker C8 Convertible 2009,0.4482758620689655,0.28888888888888886,0.35135135135135137,45.0
Spyker C8 Coupe 2009,0.6111111111111112,0.2619047619047619,0.36666666666666664,42.0
Suzuki Aerio Sedan 2007,0.27450980392156865,0.3684210526315789,0.3146067415730337,38.0
Suzuki Kizashi Sedan 2012,0.1574074074074074,0.3695652173913043,0.22077922077922077,46.0
Suzuki SX4 Hatchback 2012,0.6666666666666666,0.3333333333333333,0.4444444444444444,42.0
Suzuki SX4 Sedan 2012,0.11363636363636363,0.375,0.1744186046511628,40.0
Tesla Model S Sedan 2012,0.21518987341772153,0.4473684210526316,0.2905982905982906,38.0
Toyota Sequoia SUV 2012,0.7857142857142857,0.2894736842105263,0.4230769230769231,38.0
Toyota Camry Sedan 2012,0.38095238095238093,0.37209302325581395,0.3764705882352941,43.0
Toyota Corolla Sedan 2012,0.4090909090909091,0.20930232558139536,0.27692307692307694,43.0
Toyota 4Runner SUV 2012,0.9,0.225,0.36,40.0
Volkswagen Golf Hatchback 2012,0.625,0.23255813953488372,0.3389830508474576,43.0
Volkswagen Golf Hatchback 1991,0.65,0.5652173913043478,0.6046511627906976,46.0
Volkswagen Beetle Hatchback 2012,0.4528301886792453,0.5714285714285714,0.5052631578947369,42.0
Volvo C30 Hatchback 2012,0.42857142857142855,0.2926829268292683,0.34782608695652173,41.0
Volvo 240 Sedan 1993,0.8695652173913043,0.4444444444444444,0.5882352941176471,45.0
Volvo XC90 SUV 2007,0.5384615384615384,0.32558139534883723,0.4057971014492754,43.0
smart fortwo Convertible 2012,0.48,0.6,0.5333333333333333,40.0
accuracy,0.38490237532645194,0.38490237532645194,0.38490237532645194,0.38490237532645194
macro avg,0.4828601095824933,0.38292954052618194,0.38622635310526926,8041.0
weighted avg,0.4811459400986989,0.38490237532645194,0.3876243898755112,8041.0
