,precision,recall,f1-score,support
Acura ZDX Hatchback 2012,0.7777777777777778,0.8974358974358975,0.8333333333333334,39.0
Aston Martin V8 Vantage Convertible 2012,0.8,0.5333333333333333,0.64,45.0
Aston Martin V8 Vantage Coupe 2012,0.6888888888888889,0.7560975609756098,0.7209302325581395,41.0
Audi S4 Sedan 2012,0.5897435897435898,0.5897435897435898,0.5897435897435898,39.0
Audi S4 Sedan 2007,0.8157894736842105,0.6888888888888889,0.7469879518072289,45.0
BMW 1 Series Convertible 2012,1.0,0.8,0.8888888888888888,35.0
BMW 3 Series Sedan 2012,0.8857142857142857,0.7380952380952381,0.8051948051948052,42.0
BMW M6 Convertible 2010,0.7254901960784313,0.9024390243902439,0.8043478260869565,41.0
Chevrolet Corvette ZR1 2012,0.9534883720930233,0.8913043478260869,0.9213483146067416,46.0
Chevrolet Traverse SUV 2012,0.8,1.0,0.8888888888888888,44.0
Chevrolet HHR SS 2010,0.9714285714285714,0.9444444444444444,0.9577464788732394,36.0
Chevrolet Sonic Sedan 2012,0.9090909090909091,0.9090909090909091,0.9090909090909091,44.0
Chevrolet Express Van 2007,0.9210526315789473,1.0,0.958904109589041,35.0
Ford Expedition EL SUV 2009,0.9487179487179487,0.8409090909090909,0.891566265060241,44.0
Hyundai Azera Sedan 2012,0.7906976744186046,0.8095238095238095,0.8,42.0
Lamborghini Gallardo LP 570-4 Superleggera 2012,1.0,0.9428571428571428,0.9705882352941176,35.0
Mercedes-Benz E-Class Sedan 2012,0.639344262295082,0.9069767441860465,0.75,43.0
Ram C/V Cargo Van Minivan 2012,0.9393939393939394,0.7560975609756098,0.8378378378378378,41.0
Toyota 4Runner SUV 2012,0.8666666666666667,0.975,0.9176470588235294,40.0
Volkswagen Golf Hatchback 2012,0.9,0.8372093023255814,0.8674698795180723,43.0
accuracy,0.8329268292682926,0.8329268292682926,0.8329268292682926,0.8329268292682926
macro avg,0.8461642593785438,0.8359723442500762,0.8350257302597781,820.0
weighted avg,0.8436934773846726,0.8329268292682926,0.8320996881032389,820.0
