,precision,recall,f1-score,support
Chevrolet Silverado 1500 Classic Extended Cab 2007,0.8604651162790697,0.8809523809523809,0.8705882352941177,42.0
Chevrolet Express Van 2007,0.5,0.5142857142857142,0.5070422535211268,35.0
Chevrolet Monte Carlo Coupe 2007,0.8604651162790697,0.8222222222222222,0.8409090909090909,45.0
Chevrolet Malibu Sedan 2007,0.8484848484848485,0.6363636363636364,0.7272727272727273,44.0
Chevrolet Silverado 1500 Extended Cab 2012,0.5686274509803921,0.6744186046511628,0.6170212765957447,43.0
Chevrolet Silverado 1500 Regular Cab 2012,0.782608695652174,0.8181818181818182,0.8,44.0
Chrysler Aspen SUV 2009,0.8723404255319149,0.9534883720930233,0.9111111111111111,43.0
Chrysler Sebring Convertible 2010,0.9428571428571428,0.825,0.88,40.0
Chrysler Town and Country Minivan 2012,1.0,1.0,1.0,37.0
Chrysler 300 SRT-8 2010,0.86,0.8958333333333334,0.8775510204081632,48.0
Chrysler Crossfire Convertible 2008,0.975609756097561,0.9302325581395349,0.9523809523809523,43.0
Chrysler PT Cruiser Convertible 2008,0.9574468085106383,1.0,0.9782608695652174,45.0
Daewoo Nubira Wagon 2002,0.9318181818181818,0.9111111111111111,0.9213483146067416,45.0
Dodge Caliber Wagon 2012,0.574468085106383,0.675,0.6206896551724138,40.0
Dodge Caliber Wagon 2007,0.725,0.6904761904761905,0.7073170731707317,42.0
Dodge Caravan Minivan 1997,0.975609756097561,0.9302325581395349,0.9523809523809523,43.0
Dodge Ram Pickup 3500 Crew Cab 2010,0.9,0.8571428571428571,0.8780487804878049,42.0
Dodge Ram Pickup 3500 Quad Cab 2009,0.7291666666666666,0.7954545454545454,0.7608695652173914,44.0
Dodge Sprinter Cargo Van 2009,0.8846153846153846,0.5897435897435898,0.7076923076923077,39.0
Dodge Journey SUV 2012,0.9523809523809523,0.9090909090909091,0.9302325581395349,44.0
Dodge Dakota Crew Cab 2010,0.9705882352941176,0.8048780487804879,0.88,41.0
Dodge Dakota Club Cab 2007,0.8205128205128205,0.8421052631578947,0.8311688311688312,38.0
Dodge Magnum Wagon 2008,0.9736842105263158,0.925,0.9487179487179487,40.0
Dodge Challenger SRT8 2011,0.926829268292683,0.9743589743589743,0.95,39.0
Dodge Durango SUV 2012,0.9772727272727273,1.0,0.9885057471264368,43.0
Dodge Durango SUV 2007,0.8888888888888888,0.8888888888888888,0.8888888888888888,45.0
Dodge Charger Sedan 2012,0.8780487804878049,0.8780487804878049,0.8780487804878049,41.0
Dodge Charger SRT-8 2009,0.9722222222222222,0.8333333333333334,0.8974358974358975,42.0
Eagle Talon Hatchback 1998,0.9487179487179487,0.8043478260869565,0.8705882352941177,46.0
FIAT 500 Abarth 2012,0.9310344827586207,1.0,0.9642857142857143,27.0
FIAT 500 Convertible 2012,0.8064516129032258,0.7575757575757576,0.78125,33.0
Ferrari FF Coupe 2012,0.7714285714285715,0.6428571428571429,0.7012987012987013,42.0
Ferrari California Convertible 2012,0.7727272727272727,0.8717948717948718,0.8192771084337349,39.0
Ferrari 458 Italia Convertible 2012,0.9117647058823529,0.7948717948717948,0.8493150684931506,39.0
Ferrari 458 Italia Coupe 2012,0.9210526315789473,0.8333333333333334,0.875,42.0
Fisker Karma Sedan 2012,0.8367346938775511,0.9534883720930233,0.8913043478260869,43.0
Ford F-450 Super Duty Crew Cab 2012,0.9512195121951219,0.9512195121951219,0.9512195121951219,41.0
Ford Mustang Convertible 2007,0.95,0.8636363636363636,0.9047619047619048,44.0
Ford Freestar Minivan 2007,0.875,0.9545454545454546,0.9130434782608695,44.0
Ford Expedition EL SUV 2009,0.8333333333333334,0.9090909090909091,0.8695652173913043,44.0
Ford Edge SUV 2012,0.9512195121951219,0.9069767441860465,0.9285714285714286,43.0
Ford Ranger SuperCab 2011,0.8235294117647058,1.0,0.9032258064516129,42.0
Ford GT Coupe 2006,0.7454545454545455,0.9111111111111111,0.82,45.0
Ford F-150 Regular Cab 2012,0.9523809523809523,0.9523809523809523,0.9523809523809523,42.0
Ford F-150 Regular Cab 2007,0.9444444444444444,0.7555555555555555,0.8395061728395061,45.0
Ford Focus Sedan 2007,0.8297872340425532,0.8666666666666667,0.8478260869565217,45.0
Ford E-Series Wagon Van 2012,0.9,0.972972972972973,0.935064935064935,37.0
Ford Fiesta Sedan 2012,0.9024390243902439,0.8809523809523809,0.891566265060241,42.0
GMC Terrain SUV 2012,0.8695652173913043,0.975609756097561,0.9195402298850575,41.0
GMC Savana Van 2012,0.7468354430379747,0.8676470588235294,0.8027210884353742,68.0
GMC Yukon Hybrid SUV 2012,0.9142857142857143,0.7619047619047619,0.8311688311688312,42.0
GMC Acadia SUV 2012,0.9545454545454546,0.9545454545454546,0.9545454545454546,44.0
GMC Canyon Extended Cab 2012,0.9629629629629629,0.65,0.7761194029850746,40.0
Geo Metro Convertible 1993,0.9743589743589743,0.8636363636363636,0.9156626506024096,44.0
HUMMER H3T Crew Cab 2010,0.8636363636363636,0.9743589743589743,0.9156626506024096,39.0
HUMMER H2 SUT Crew Cab 2009,0.8947368421052632,0.7906976744186046,0.8395061728395061,43.0
Honda Odyssey Minivan 2012,0.8837209302325582,0.9047619047619048,0.8941176470588236,42.0
Honda Odyssey Minivan 2007,0.9722222222222222,0.8536585365853658,0.9090909090909091,41.0
Honda Accord Coupe 2012,0.9142857142857143,0.8205128205128205,0.8648648648648649,39.0
Honda Accord Sedan 2012,0.8571428571428571,0.7894736842105263,0.821917808219178,38.0
