,precision,recall,f1-score,support
AM General Hummer SUV 2000,0.8717948717948718,0.7727272727272727,0.8192771084337349,44.0
Acura RL Sedan 2012,0.6,0.375,0.46153846153846156,32.0
Acura TL Sedan 2012,0.7105263157894737,0.627906976744186,0.6666666666666666,43.0
Acura TL Type-S 2008,0.7666666666666667,0.5476190476190477,0.6388888888888888,42.0
Acura TSX Sedan 2012,0.625,0.5,0.5555555555555556,40.0
Acura Integra Type R 2001,0.673469387755102,0.75,0.7096774193548387,44.0
Acura ZDX Hatchback 2012,0.9583333333333334,0.5897435897435898,0.7301587301587301,39.0
Aston Martin V8 Vantage Convertible 2012,0.46153846153846156,0.4,0.42857142857142855,45.0
Aston Martin V8 Vantage Coupe 2012,0.5,0.5609756097560976,0.5287356321839081,41.0
Aston Martin Virage Convertible 2012,0.4838709677419355,0.45454545454545453,0.46875,33.0
Aston Martin Virage Coupe 2012,0.7317073170731707,0.7894736842105263,0.759493670886076,38.0
Audi RS 4 Convertible 2008,0.54,0.75,0.627906976744186,36.0
Audi A5 Coupe 2012,0.5116279069767442,0.5365853658536586,0.5238095238095238,41.0
Audi TTS Coupe 2012,0.6428571428571429,0.21428571428571427,0.32142857142857145,42.0
Audi R8 Coupe 2012,0.5714285714285714,0.7441860465116279,0.6464646464646465,43.0
Audi V8 Sedan 1994,0.6363636363636364,0.32558139534883723,0.4307692307692308,43.0
Audi 100 Sedan 1994,0.6170212765957447,0.725,0.6666666666666666,40.0
Audi 100 Wagon 1994,0.75,0.42857142857142855,0.5454545454545454,42.0
Audi TT Hatchback 2011,0.43333333333333335,0.65,0.52,40.0
Audi S6 Sedan 2011,0.4358974358974359,0.7391304347826086,0.5483870967741935,46.0
Audi S5 Convertible 2012,0.625,0.47619047619047616,0.5405405405405406,42.0
Audi S5 Coupe 2012,0.22608695652173913,0.6190476190476191,0.33121019108280253,42.0
Audi S4 Sedan 2012,0.34210526315789475,0.3333333333333333,0.33766233766233766,39.0
Audi S4 Sedan 2007,0.4230769230769231,0.4888888888888889,0.4536082474226804,45.0
Audi TT RS Coupe 2012,0.7142857142857143,0.5128205128205128,0.5970149253731343,39.0
BMW ActiveHybrid 5 Sedan 2012,0.7037037037037037,0.5588235294117647,0.6229508196721312,34.0
BMW 1 Series Convertible 2012,0.5116279069767442,0.6285714285714286,0.5641025641025641,35.0
BMW 1 Series Coupe 2012,0.5370370370370371,0.7073170731707317,0.6105263157894737,41.0
BMW 3 Series Sedan 2012,0.4444444444444444,0.47619047619047616,0.45977011494252873,42.0
BMW 3 Series Wagon 2012,0.5675675675675675,0.5121951219512195,0.5384615384615384,41.0
BMW 6 Series Convertible 2007,0.5217391304347826,0.2727272727272727,0.3582089552238806,44.0
BMW X5 SUV 2007,0.6585365853658537,0.6585365853658537,0.6585365853658537,41.0
BMW X6 SUV 2012,0.5573770491803278,0.8095238095238095,0.6601941747572816,42.0
BMW M3 Coupe 2012,0.3170731707317073,0.5909090909090909,0.4126984126984127,44.0
BMW M5 Sedan 2010,0.4482758620689655,0.3170731707317073,0.37142857142857144,41.0
BMW M6 Convertible 2010,0.2755102040816326,0.6585365853658537,0.38848920863309355,41.0
BMW X3 SUV 2012,0.6122448979591837,0.7894736842105263,0.6896551724137931,38.0
BMW Z4 Convertible 2012,0.6842105263157895,0.325,0.4406779661016949,40.0
Bentley Continental Supersports Conv. Convertible 2012,0.6875,0.6111111111111112,0.6470588235294118,36.0
Bentley Arnage Sedan 2009,0.5957446808510638,0.717948717948718,0.6511627906976745,39.0
Bentley Mulsanne Sedan 2011,0.5510204081632653,0.7714285714285715,0.6428571428571429,35.0
Bentley Continental GT Coupe 2012,0.631578947368421,0.7058823529411765,0.6666666666666666,34.0
Bentley Continental GT Coupe 2007,0.5121951219512195,0.45652173913043476,0.4827586206896552,46.0
Bentley Continental Flying Spur Sedan 2007,0.8,0.45454545454545453,0.5797101449275363,44.0
Bugatti Veyron 16.4 Convertible 2009,0.6896551724137931,0.625,0.6557377049180327,32.0
Bugatti Veyron 16.4 Coupe 2009,0.6808510638297872,0.7441860465116279,0.7111111111111111,43.0
Buick Regal GS 2012,0.6046511627906976,0.7428571428571429,0.6666666666666666,35.0
Buick Rainier SUV 2007,0.7222222222222222,0.6190476190476191,0.6666666666666666,42.0
Buick Verano Sedan 2012,0.6585365853658537,0.7297297297297297,0.6923076923076923,37.0
Buick Enclave SUV 2012,0.6333333333333333,0.9047619047619048,0.7450980392156863,42.0
Cadillac CTS-V Sedan 2012,0.8717948717948718,0.7906976744186046,0.8292682926829268,43.0
Cadillac SRX SUV 2012,0.6415094339622641,0.8292682926829268,0.723404255319149,41.0
Cadillac Escalade EXT Crew Cab 2007,0.6818181818181818,0.6818181818181818,0.6818181818181818,44.0
Chevrolet Silverado 1500 Hybrid Crew Cab 2012,0.59375,0.475,0.5277777777777778,40.0
Chevrolet Corvette Convertible 2012,0.7727272727272727,0.4358974358974359,0.5573770491803278,39.0
Chevrolet Corvette ZR1 2012,0.7045454545454546,0.6739130434782609,0.6888888888888889,46.0
Chevrolet Corvette Ron Fellows Edition Z06 2007,0.9565217391304348,0.5945945945945946,0.7333333333333333,37.0
Chevrolet Traverse SUV 2012,0.6428571428571429,0.6136363636363636,0.627906976744186,44.0
Chevrolet Camaro Convertible 2012,0.6590909090909091,0.6590909090909091,0.6590909090909091,44.0
Chevrolet HHR SS 2010,0.8292682926829268,0.9444444444444444,0.8831168831168831,36.0
Chevrolet Impala Sedan 2007,0.5,0.6046511627906976,0.5473684210526316,43.0
Chevrolet Tahoe Hybrid SUV 2012,0.5588235294117647,0.5135135135135135,0.5352112676056338,37.0
Chevrolet Sonic Sedan 2012,0.4230769230769231,0.5,0.4583333333333333,44.0
Chevrolet Express Cargo Van 2007,0.2857142857142857,0.06896551724137931,0.1111111111111111,29.0
Chevrolet Avalanche Crew Cab 2012,0.5806451612903226,0.4,0.47368421052631576,45.0
Chevrolet Cobalt SS 2010,0.696969696969697,0.5609756097560976,0.6216216216216216,41.0
Chevrolet Malibu Hybrid Sedan 2010,0.4915254237288136,0.7631578947368421,0.5979381443298969,38.0
Chevrolet TrailBlazer SS 2009,0.8275862068965517,0.6,0.6956521739130435,40.0
Chevrolet Silverado 2500HD Regular Cab 2012,0.4807692307692308,0.6578947368421053,0.5555555555555556,38.0
Chevrolet Silverado 1500 Classic Extended Cab 2007,0.90625,0.6904761904761905,0.7837837837837838,42.0
Chevrolet Express Van 2007,0.3404255319148936,0.45714285714285713,0.3902439024390244,35.0
Chevrolet Monte Carlo Coupe 2007,0.6363636363636364,0.3111111111111111,0.417910447761194,45.0
Chevrolet Malibu Sedan 2007,0.6923076923076923,0.4090909090909091,0.5142857142857142,44.0
Chevrolet Silverado 1500 Extended Cab 2012,0.47058823529411764,0.5581395348837209,0.5106382978723404,43.0
Chevrolet Silverado 1500 Regular Cab 2012,0.574468085106383,0.6136363636363636,0.5934065934065934,44.0
Chrysler Aspen SUV 2009,0.6808510638297872,0.7441860465116279,0.7111111111111111,43.0
Chrysler Sebring Convertible 2010,0.8148148148148148,0.55,0.6567164179104478,40.0
Chrysler Town and Country Minivan 2012,0.8125,0.7027027027027027,0.7536231884057971,37.0
Chrysler 300 SRT-8 2010,0.6590909090909091,0.6041666666666666,0.6304347826086957,48.0
Chrysler Crossfire Convertible 2008,0.7441860465116279,0.7441860465116279,0.7441860465116279,43.0
Chrysler PT Cruiser Convertible 2008,0.8837209302325582,0.8444444444444444,0.8636363636363636,45.0
Daewoo Nubira Wagon 2002,0.875,0.4666666666666667,0.6086956521739131,45.0
Dodge Caliber Wagon 2012,0.5217391304347826,0.6,0.5581395348837209,40.0
Dodge Caliber Wagon 2007,0.5614035087719298,0.7619047619047619,0.6464646464646465,42.0
Dodge Caravan Minivan 1997,0.9696969696969697,0.7441860465116279,0.8421052631578947,43.0
Dodge Ram Pickup 3500 Crew Cab 2010,0.6792452830188679,0.8571428571428571,0.7578947368421053,42.0
Dodge Ram Pickup 3500 Quad Cab 2009,0.5,0.4772727272727273,0.4883720930232558,44.0
Dodge Sprinter Cargo Van 2009,0.6585365853658537,0.6923076923076923,0.675,39.0
Dodge Journey SUV 2012,0.9375,0.6818181818181818,0.7894736842105263,44.0
Dodge Dakota Crew Cab 2010,0.7804878048780488,0.7804878048780488,0.7804878048780488,41.0
Dodge Dakota Club Cab 2007,0.9230769230769231,0.631578947368421,0.75,38.0
Dodge Magnum Wagon 2008,0.6666666666666666,0.65,0.6582278481012658,40.0
Dodge Challenger SRT8 2011,0.7142857142857143,0.8974358974358975,0.7954545454545454,39.0
Dodge Durango SUV 2012,0.6190476190476191,0.9069767441860465,0.7358490566037735,43.0
Dodge Durango SUV 2007,0.5964912280701754,0.7555555555555555,0.6666666666666666,45.0
Dodge Charger Sedan 2012,0.5957446808510638,0.6829268292682927,0.6363636363636364,41.0
Dodge Charger SRT-8 2009,0.8,0.47619047619047616,0.5970149253731343,42.0
Eagle Talon Hatchback 1998,0.9333333333333333,0.30434782608695654,0.45901639344262296,46.0
FIAT 500 Abarth 2012,0.78125,0.9259259259259259,0.847457627118644,27.0
FIAT 500 Convertible 2012,0.8846153846153846,0.696969696969697,0.7796610169491526,33.0
Ferrari FF Coupe 2012,0.8181818181818182,0.6428571428571429,0.72,42.0
Ferrari California Convertible 2012,0.6956521739130435,0.8205128205128205,0.7529411764705882,39.0
Ferrari 458 Italia Convertible 2012,0.47540983606557374,0.7435897435897436,0.58,39.0
Ferrari 458 Italia Coupe 2012,0.6052631578947368,0.5476190476190477,0.575,42.0
Fisker Karma Sedan 2012,0.6756756756756757,0.5813953488372093,0.625,43.0
Ford F-450 Super Duty Crew Cab 2012,0.7843137254901961,0.975609756097561,0.8695652173913043,41.0
Ford Mustang Convertible 2007,0.6666666666666666,0.45454545454545453,0.5405405405405406,44.0
Ford Freestar Minivan 2007,0.7450980392156863,0.8636363636363636,0.8,44.0
Ford Expedition EL SUV 2009,0.782608695652174,0.8181818181818182,0.8,44.0
Ford Edge SUV 2012,0.7714285714285715,0.627906976744186,0.6923076923076923,43.0
Ford Ranger SuperCab 2011,0.7428571428571429,0.6190476190476191,0.6753246753246753,42.0
Ford GT Coupe 2006,0.725,0.6444444444444445,0.6823529411764706,45.0
Ford F-150 Regular Cab 2012,0.8787878787878788,0.6904761904761905,0.7733333333333333,42.0
Ford F-150 Regular Cab 2007,0.6041666666666666,0.6444444444444445,0.6236559139784946,45.0
Ford Focus Sedan 2007,0.6341463414634146,0.5777777777777777,0.6046511627906976,45.0
Ford E-Series Wagon Van 2012,0.7560975609756098,0.8378378378378378,0.7948717948717948,37.0
Ford Fiesta Sedan 2012,0.8888888888888888,0.5714285714285714,0.6956521739130435,42.0
GMC Terrain SUV 2012,0.8947368421052632,0.8292682926829268,0.8607594936708861,41.0
GMC Savana Van 2012,0.6935483870967742,0.6323529411764706,0.6615384615384615,68.0
GMC Yukon Hybrid SUV 2012,0.6363636363636364,0.6666666666666666,0.6511627906976745,42.0
GMC Acadia SUV 2012,0.5846153846153846,0.8636363636363636,0.6972477064220184,44.0
